WikidataID,WikidataName,ReconCount
Q1331392,legal theory,1
Q13593966,literary trilogy,1
Q1366112,television drama,1
Q1371037,institute of technology,1
Q13723070,local history society,1
Q1387659,school of thought,1
Q1400264,artist collective,1
Q1401304,theoretical economics,1
Q14623646,fictional organization,1
Q14639,Trojan horse,1
Q1474611,plot,1
Q1475455,personality test,1
Q14762300,single-tier municipality,1
Q14860489,molecular function,1
Q15063611,city of New York,1
Q15077416,display server,1
Q1520214,reappropriation,1
Q1520223,constitutional republic,1
Q15221623,bilateral relation,1
Q15284636,presidential term,1
Q1530022,religious organization,1
Q1555508,radio program,1
Q15632166,city part of Cologne,1
Q1573906,concert tour,1
Q157811,virtue,1
Q158646,-ism,1
Q15899789,principal organ of the United Nations,1
Q15921300,sector of Bucharest,1
Q15961987,television genre,1
Q15967335,Wayland compositor,1
Q1620945,historically black colleges and universities,1
Q16334295,group of humans,1
Q16335331,Holocaust survivor,1
Q1641112,social order,1
Q16567729,Council of Europe treaty,1
Q166118,archive,1
Q166142,application,1
Q166542,international relations,1
Q1667921,novel series,1
Q167170,multi-sport event,1
Q167270,trademark,1
Q16743958,genre of painting,1
Q16748867,basic emotion,1
Q1679887,student protest,1
Q1684600,news magazine,1
Q16895642,philosophical school,1
Q169207,discrimination,1
Q16970,church,1
Q1709894,journalism prize,1
Q17127659,terrorist organization,1
Q171318,kinship,1
Q17412622,car marque,1
Q1742009,Radioshow,1
Q1752346,assembly,1
Q175331,demonstration,1
Q1756006,continental team,1
Q1760610,comic book,1
Q176799,military unit,1
Q1788992,criminal organization,1
Q1789476,bibliographic database,1
Q179164,unitary state,1
Q1792379,art genre,1
Q179435,satellite navigation system,1
Q179630,syndrome,1
Q179700,statue,1
Q1802963,mansion,1
Q18039177,fictional spacecraft class,1
Q180634,distributed computing,1
Q1810004,election law,1
Q1810858,blog software,1
Q18142,tower block,1
Q182547,Roman province,1
Q18279,canton of the Federation of Bosnia and Herzegovina,1
Q18343316,standard UNIX utility,1
Q1840161,commune of Chile,1
Q1852859,populated place in the Netherlands,1
Q185357,phase change,1
Q1863818,maritime museum,1
Q187685,doctoral thesis,1
Q18819329,personality trait,1
Q188628,board of directors,1
Q18916020,river cruise ship,1
Q189445,bicameral legislature,1
Q192283,news agency,1
Q193934,paperback,1
Q1969448,term,1
Q1970725,natural region,1
Q19723444,cell phone model,1
Q1979154,model,1
Q19832479,vessel class,1
Q2001305,television channel,1
Q20076756,fantastique genre,1
Q201759,slum,1
Q20437094,installation,1
Q204832,roller coaster,1
Q2057971,health problem,1
Q20671381,album series,1
Q20679883,psychological theory,1
Q207174,personification,1
Q207524,islet,1
Q207694,art museum,1
Q20821044,federal police,1
Q2085381,publisher,1
Q208569,studio album,1
Q2088357,musical ensemble,1
Q20978643,point of view,1
Q211025,march,1
Q21114848,magazine genre,1
Q21122879,GTK+ software binding,1
Q211364,principle,1
Q2135465,legal term,1
Q216653,window manager,1
Q217438,demonym,1
Q2175765,tram stop,1
Q218616,proprietary software,1
Q220505,film festival,1
Q221810,anti-discrimination law,1
Q223832,dominion of the British Empire,1
Q22667,railroad,1
Q22927616,French commune with specific status,1
Q22988604,mythological Greek character,1
Q2300373,national trade union center,1
Q23010647,suburb of Perth,1
Q2325086,state model,1
Q233324,seminary,1
Q2367171,volunteer computing,1
Q2399626,technopole,1
Q2401749,telecommunication company,1
Q24354,theater,1
Q245260,conurbation,1
Q24856,film series,1
Q25110269,live-action/animated film,1
Q252550,trade agreement,1
Q252916,administrative quarter,1
Q25295,language family,1
Q2587942,housing ministry,1
Q2590631,municipality of Hungary,1
Q2616791,urban municipality of Poland,1
Q2620972,story arc,1
Q26492853,Lebenskompetenz,1
Q2652357,Racial segregation in the United States,1
Q26700453,fictional knowledge organization system,1
Q27043990,Lego theme,1
Q271680,software framework,1
Q2741056,cabinet,1
Q27686,hotel,1
Q277759,book series,1
Q27865755,Canadian federal department or agency,1
Q28017217,presidential school,1
Q28053575,United Nations Depository Library,1
Q28061462,Gnutella client,1
Q28866641,Active Measure,1
Q28914343,Energy conservation measure,1
Q290,sex,1
Q2915955,philosophical movement,1
Q29168811,animated feature film,1
Q2924688,Brevet de technicien superieur,1
Q2933820,calendaring software,1
Q29380,sponsored top-level domain,1
Q2943071,congressional caucus,1
Q29471320,Card game video game,1
Q2985549,mononymous person,1
Q30125896,scientific hypothesis,1
Q3026037,Platonic dialogues,1
Q308857,misogyny,1
Q309100,planning,1
Q31172650,moral quality,1
Q3244038,Établissement public à caractère administratif,1
Q3254959,race,1
Q3327913,Summer Paralympic Games,1
Q3380824,trading company,1
Q341,free software,1
Q3512806,Unicode block,1
Q3516404,systematics,1
Q352102,journalism school,1
Q355567,royal or noble rank,1
Q3558970,village of Poland,1
Q36279,biography,1
Q37726,army,1
Q3778211,legal person,1
Q3932296,relational database management system,1
Q40050,drink,1
Q40357,prison,1
Q41176,building,1
Q414147,academy of sciences,1
Q41614,constitutional monarchy,1
Q4164871,position,1
Q42032,country code top-level domain,1
Q4209223,legal state,1
Q4220917,film award,1
Q423208,private school,1
Q4284762,material flow,1
Q436435,rail transport modelling scale,1
Q43702,federation,1
Q4438121,sports organization,1
Q4498974,ice hockey team,1
Q45701,waste,1
Q473708,home computer,1
Q473972,protected area,1
Q475050,federal district,1
Q47848,sacred architecture,1
Q479716,university press,1
Q47988,identity document,1
Q48204,association,1
Q482517,Chaebol,1
Q483130,geographic information system,1
Q483394,genre,1
Q49614,nickname,1
Q497893,literary society,1
Q5001853,business channel,1
Q50337,prefecture of Japan,1
Q506883,free and open-source software,1
Q507619,chain store,1
Q5153359,municipality of the Czech Republic,1
Q523,star,1
Q5255892,democratic republic,1
Q5260216,Department of Corrections,1
Q5297,microprocessor,1
Q5354754,talent agency,1
Q5389993,philosophical theory,1
Q5569988,glittering generality,1
Q55818,impact crater,1
Q559618,fictional universe,1
Q559856,video hosting service,1
Q575759,war memorial,1
Q58199,instant messaging,1
Q5883980,Holocaust victim,1
Q618123,geographical object,1
Q620615,mobile app,1
Q622425,nightclub,1
Q6428674,era,1
Q6465,department of France,1
Q658255,subsidiary company,1
Q6593035,separated municipality in Ontario,1
Q66344,central bank,1
Q670732,religious law,1
Q672593,wheel arrangement,1
Q672729,Islamic republic,1
Q708676,charitable organization,1
Q7210356,political organization,1
Q7241458,presidential proclamation,1
Q7246202,private foundation (US),1
Q725377,graphic novel,1
Q7256338,Psychoanalytic theory,1
Q7275,state,1
Q7307130,reference question,1
Q735,art,1
Q74047,ghost town,1
Q742069,California megapolitan areas,1
Q756637,application framework,1
Q7755,constitution,1
Q778575,conglomerate,1
Q783794,company,1
Q7892363,United States cable news,1
Q811979,architectural structure,1
Q814207,illness,1
Q814232,survey methodology,1
Q814648,Sogn,1
Q8148,industry,1
Q820655,statute,1
Q8261,novel,1
Q835439,Great Awakening,1
Q836575,quality assurance,1
Q837900,Hypermedia,1
Q838368,black-and-white,1
Q838948,work of art,1
Q839954,archaeological site,1
Q8436,family,1
Q8461,racism,1
Q849866,communist state,1
Q849965,broadside,1
Q8513,database,1
Q856076,municipality of Finland,1
Q860582,community area in Chicago,1
Q866196,episcopal see,1
Q87167,manuscript,1
Q893775,National Monument of the United States,1
Q898273,protein domain,1
Q918270,initialism,1
Q921259,Brixham trawler,1
Q928830,metro station,1
Q93184,drawing,1
Q9319988,province of the Republic of China,1
Q9465,ethics,1
Q955824,learned society,1
Q9779,alphabet,1
