Tct Id,Topic Name,LC URI,LC closeMatch,FAST_URI,FAST closeMatch,VIAF_URI,Wikidata_URI,Wikidata closeMatch
20634,"Baker, James A. III",http://id.loc.gov/authorities/names/n84212364,,http://id.worldcat.org/fast/147887,,https://viaf.org/viaf/50034099,https://www.wikidata.org/entity/Q223151,
20647,"Boskin, Michael J.",http://id.loc.gov/authorities/names/n78088978,,http://id.worldcat.org/fast/28414,,https://viaf.org/viaf/9909251,,
20712,Defense,,,,,,https://www.wikidata.org/entity/Q1985622,
20718,Department of Defense,,,http://id.worldcat.org/fast/1852447,,https://viaf.org/viaf/128989241,https://www.wikidata.org/entity/Q11209,
20725,prejudice,http://id.loc.gov/authorities/subjects/sh85106310,,http://id.worldcat.org/fast/1075260,,,https://www.wikidata.org/entity/Q179742,
20734,"Dukakis, Michael",http://id.loc.gov/authorities/names/n80011660,,http://id.worldcat.org/fast/49514,,https://viaf.org/viaf/3764338,https://www.wikidata.org/entity/Q319099,
20738,Economic development,,,http://id.worldcat.org/fast/901785,,,https://www.wikidata.org/entity/Q4530482,
20773,Exports,http://id.loc.gov/authorities/subjects/sh87004892,,http://id.worldcat.org/fast/918764,,,https://www.wikidata.org/entity/Q182722,
20795,General Motors Corp.,http://id.loc.gov/authorities/names/n79079577,,http://id.worldcat.org/fast/534871,,,https://www.wikidata.org/entity/Q81965,
20808,Group consciousness,,,,,,,
20823,humanism,http://id.loc.gov/authorities/subjects/sh85062902,,http://id.worldcat.org/fast/963520,,,https://www.wikidata.org/entity/Q46158,
20840,Incomes,,,,,,https://www.wikidata.org/entity/Q1527264,
20843,Independence,http://id.loc.gov/authorities/names/n93039794,,http://id.worldcat.org/fast/824163,,,https://www.wikidata.org/entity/Q37055,
20850,inflation,http://id.loc.gov/authorities/subjects/sh85066112,,http://id.worldcat.org/fast/972450,,,https://www.wikidata.org/entity/Q35865,
20867,invest(ment),,,,,,,
20873,"Ishihara, Shintaro",http://id.loc.gov/authorities/names/n83018896,,http://id.worldcat.org/fast/108685,,https://viaf.org/viaf/5132067,https://www.wikidata.org/entity/Q38849,
20884,Japanese Americans -- internment of,http://id.loc.gov/authorities/subjects/sh85069606,,http://id.worldcat.org/fast/1801850,,,https://www.wikidata.org/entity/Q936604,
20886,Japanese-Americans -- World War II and,,,,,,,
20905,"Kissinger, Henry",http://id.loc.gov/authorities/names/n79018911,,http://id.worldcat.org/fast/31425,,https://viaf.org/viaf/108958811,https://www.wikidata.org/entity/Q66107,
20916,Land,,,,,,https://www.wikidata.org/entity/Q11081619,
20929,LBO,http://id.loc.gov/authorities/subjects/sh85076322,,http://id.worldcat.org/fast/996974,,,https://www.wikidata.org/entity/Q1058381,
20950,"McNamara, Robert",http://id.loc.gov/authorities/names/n50012933,,http://id.worldcat.org/fast/1731468,,https://viaf.org/viaf/108509873,https://www.wikidata.org/entity/Q191999,
20955,Manufacturing,,,,,,https://www.wikidata.org/entity/Q187939,
21018,New York Times -- on baby bonus plan,,,,,,,
21019,New York Times -- on FSX,,,,,,,
21020,New York Times -- on internationalization,,,,,,,
21021,"New York Times -- on The Japan That Can Say ""No""",,,,,,,
21022,New York Times -- on Pickens,,,,,,,
21030,"Noriega, Manuel",http://id.loc.gov/authorities/names/n88014308,,http://id.worldcat.org/fast/237878,,https://viaf.org/viaf/33536677,https://www.wikidata.org/entity/Q192667,
21116,Rice,http://id.loc.gov/authorities/subjects/sh85113862,,http://id.worldcat.org/fast/1097334,,,https://www.wikidata.org/entity/Q5090,
21129,"Rockefeller, Nelson",http://id.loc.gov/authorities/names/n50049079,,http://id.worldcat.org/fast/16746,,https://viaf.org/viaf/9919239,https://www.wikidata.org/entity/Q11237,
21136,"Samuelson, Paul A.",http://id.loc.gov/authorities/names/n50019332,,http://id.worldcat.org/fast/1732779,,https://viaf.org/viaf/98511352,https://www.wikidata.org/entity/Q102454,
21143,Security,,,,,,https://www.wikidata.org/entity/Q2526135,
21146,Self -- denial,http://id.loc.gov/authorities/subjects/sh85119732,,http://id.worldcat.org/fast/1111602,,,https://www.wikidata.org/entity/Q2821677,
21157,"Smith, Adam",http://id.loc.gov/authorities/names/n80032761,,http://id.worldcat.org/fast/51861,,https://viaf.org/viaf/49231791,https://www.wikidata.org/entity/Q9381,
21182,Structural Impediments Initiative -- (SII) talks,,,,,,,
21184,"Summers, Lawrence",http://id.loc.gov/authorities/names/n79047451,,http://id.worldcat.org/fast/34726,,https://viaf.org/viaf/51751591,https://www.wikidata.org/entity/Q317953,
21215,Tourism,http://id.loc.gov/authorities/subjects/sh85136255,,http://id.worldcat.org/fast/1153142,,,https://www.wikidata.org/entity/Q49389,
21262,Yellow Peril theory,,,,,,,
21273,Inheritance,,,,,,https://www.wikidata.org/entity/Q200303,
21276,"Angel, woman as",,,,,,,
21296,Babies,http://id.loc.gov/authorities/childrensSubjects/sj96004876,,http://id.worldcat.org/fast/972103,closeMatch,,https://www.wikidata.org/entity/Q998,
21297,Babies -- Dickens's attitude toward,,,,,,,
21305,Being,,,http://id.worldcat.org/fast/1045995,closeMatch,,https://www.wikidata.org/entity/Q203872,
21325,Bleak House (Dickens) -- dead baby and psychic inheritance in,,,,,,,
21329,Bleak House (Dickens) -- father-daughter relationship in,,,,,,,
21333,Bleak House (Dickens) -- orphan theme in,,,,,,,
21338,"Breast, the",,,http://id.worldcat.org/fast/838255,,,https://www.wikidata.org/entity/Q9103,
21345,Women in works of Dickens -- absence of breasts in,,,,,,,
21376,children,http://id.loc.gov/authorities/subjects/sh99004941,,http://id.worldcat.org/fast/854835,,,https://www.wikidata.org/entity/Q7569,
21377,Children -- Dickens's attitude toward,,,,,,,
21387,Sexuality -- Christianity and,,,,,,,
